employee_id,first_name,last_name,email,phone,department,designation,manager_id,employment_type,salary_band,location,status,joining_date,risk_score
EMP7D8BE1F1,Danielle,Johnson,danielle.johnson@company.com,533-521-8196x001,IT,VP,,Part-Time,Band-6,Jacksonville,Active,2017-09-30,38.88
EMPB65D8686,William,Johnson,william.johnson@company.com,886.737.9402,Finance,SVP,,Temporary,Band-6,New York,Active,2021-02-11,35.89
EMP725CE965,Joshua,Lewis,joshua.lewis@company.com,001-851-316-1559x407,IT,Senior Associate,,Temporary,Band-2,Houston,Active,2021-04-17,22.21
EMPB6395E4A,Andrea,Calderon,andrea.calderon@company.com,+1-659-931-0341x316,Operations,Lead,,Part-Time,Band-3,Jacksonville,Active,2024-01-29,40.24
EMPE25B7A33,Cynthia,Diaz,cynthia.diaz@company.com,(653)541-9283x276,Finance,Lead,,Full-Time,Band-3,San Antonio,Active,2018-10-10,41.07
EMPF5D5549E,Gabrielle,Cameron,gabrielle.cameron@company.com,001-903-405-6413x953,Procurement,Senior Lead,,Full-Time,Band-3,Jacksonville,Active,2021-10-08,51.21
EMP2F0CF319,Joseph,Wright,joseph.wright@company.com,+1-484-996-9653,Procurement,Junior Associate,,Contract,Band-1,San Jose,Active,2021-03-11,34.42
EMP5CF1890A,Christopher,Williams,christopher.williams@company.com,922-669-1669,IT,Junior Associate,,Contract,Band-1,Los Angeles,Active,2015-07-07,17.54
EMP4F7542D8,Tasha,Valencia,tasha.valencia@company.com,9182451462,Logistics,Junior Associate,,Part-Time,Band-1,Philadelphia,Active,2024-05-09,7.97
EMPFD87C5C3,Stephanie,Liu,stephanie.liu@company.com,282-781-4893x252,Finance,VP,,Part-Time,Band-6,Dallas,Active,2017-12-29,31.28
EMP1C3128C7,Tracy,Rodriguez,tracy.rodriguez@company.com,(443)903-9117x182,Sales,Associate,,Part-Time,Band-2,Austin,Active,2022-03-06,8.43
EMP13435962,Stacey,Martin,stacey.martin@company.com,596.338.3465x78713,Operations,C-Level,,Part-Time,Band-6,New York,Active,2023-09-14,22.8
EMP9492A6DA,Matthew,Chapman,matthew.chapman@company.com,793.301.0310,Logistics,Manager,,Part-Time,Band-4,Austin,Active,2021-05-12,18.85
EMPEEA9FB5B,Willie,Ramirez,willie.ramirez@company.com,838.729.9737x6311,HR,VP,,Contract,Band-6,Chicago,Active,2020-02-23,30.26
EMPCC4CF7F6,Rodney,Owens,rodney.owens@company.com,001-801-406-5133x387,Marketing,Director,,Temporary,Band-5,Philadelphia,Active,2019-10-21,0.0
EMP50B3C1EA,Joshua,Wright,joshua.wright@company.com,478-810-8013,Quality,Associate,,Full-Time,Band-2,New York,Active,2020-09-18,13.97
EMPCA637149,Todd,Lewis,todd.lewis@company.com,(502)660-6474x6872,Marketing,Associate,,Full-Time,Band-2,San Antonio,Active,2019-09-26,1.49
EMPC37A773B,Jeff,Brown,jeff.brown@company.com,001-380-450-0978x820,Procurement,Senior Manager,,Full-Time,Band-4,Austin,Active,2020-12-07,0.91
EMP1BA4CD05,Casey,Jones,casey.jones@company.com,361.893.9909,Logistics,VP,,Full-Time,Band-6,Phoenix,Active,2023-08-15,38.74
EMP7D54AD27,Diane,Cunningham,diane.cunningham@company.com,343-353-4624x75107,Procurement,Senior Manager,,Part-Time,Band-4,Dallas,Active,2015-01-14,3.44
EMPDDD56A63,Amanda,Wagner,amanda.wagner@company.com,(651)235-4278,IT,VP,,Part-Time,Band-6,Philadelphia,Active,2021-10-30,13.58
EMP2B11D95A,Elizabeth,Spencer,elizabeth.spencer@company.com,+1-612-941-1824x4935,Sales,Director,,Full-Time,Band-5,San Jose,Active,2023-09-25,40.43
EMP5D8876EF,John,Odonnell,john.odonnell@company.com,4169400524,Procurement,Intern,,Part-Time,Band-1,New York,Active,2024-04-29,30.87
EMPE1713B3F,Andrea,Patterson,andrea.patterson@company.com,4118280598,Finance,Senior Director,,Temporary,Band-5,Los Angeles,Inactive,2015-11-19,29.21
EMP089625EF,David,Parker,david.parker@company.com,4535315869,Sales,Director,,Part-Time,Band-5,Phoenix,Active,2020-04-30,20.78
EMP4EF83BC0,Michelle,Cherry,michelle.cherry@company.com,(360)825-6342,IT,Senior Director,,Part-Time,Band-5,Jacksonville,Active,2019-09-30,12.18
EMP4B9FF68F,Monica,Garrison,monica.garrison@company.com,837.754.3303,Quality,VP,,Full-Time,Band-6,Houston,Active,2020-10-20,10.52
EMP77EF2E37,Joshua,Jones,joshua.jones@company.com,001-345-886-8501x429,Marketing,Senior Lead,,Part-Time,Band-3,San Jose,Active,2015-03-28,6.98
EMPB5DD4BAF,Michael,Hartman,michael.hartman@company.com,(798)816-9340x60883,Operations,Junior Associate,,Contract,Band-1,Los Angeles,Active,2015-10-04,18.63
EMP3C87ECE7,Chad,Beck,chad.beck@company.com,895-814-8465x64823,Quality,Lead,,Part-Time,Band-3,Dallas,Active,2022-07-03,14.96
EMP019F1155,Erica,Orr,erica.orr@company.com,+1-794-968-0443x699,Manufacturing,Senior Director,,Part-Time,Band-5,Los Angeles,Active,2020-04-21,10.07
EMPE8EECFAC,Scott,Lowe,scott.lowe@company.com,272.214.8951x34332,Manufacturing,Manager,,Temporary,Band-4,San Diego,Active,2018-12-22,14.84
EMP6EEC321C,John,Alvarez,john.alvarez@company.com,001-517-469-3676x320,Operations,Intern,,Temporary,Band-1,Jacksonville,Active,2016-02-08,0.0
EMP0038F8DB,Linda,Dominguez,linda.dominguez@company.com,908.831.7278x895,IT,Junior Associate,,Part-Time,Band-1,Dallas,Active,2017-10-15,0.0
EMP40ACE82E,Maria,Kelley,maria.kelley@company.com,(677)943-4873,Finance,Manager,,Temporary,Band-4,Dallas,Active,2024-10-21,26.78
EMP4111AE0C,Chris,Mitchell,chris.mitchell@company.com,855-881-2236x231,Operations,VP,,Full-Time,Band-6,Houston,Active,2021-01-23,35.28
EMP545C4A95,Mark,Owens,mark.owens@company.com,2367690967,HR,Senior Manager,,Temporary,Band-4,New York,Inactive,2015-08-29,0.0
EMPCD02E359,Kenneth,Price,kenneth.price@company.com,(488)993-7346x70656,Quality,Lead,,Contract,Band-3,San Antonio,Active,2023-10-17,23.51
