vendor_id,company_name,industry,country,city,contact_person,email,phone,rating,average_delivery_days,contract_start,contract_end,risk_score,preferred_vendor
VNDCDB882C0,"Cole, Williams and Campbell",Technology,Luxembourg,Patelbury,Laura Brown,vincentvincent@example.org,5884004422,3.8,9,2023-08-17,2026-09-27,39.36,No
VND44174C92,"Pollard, Black and Tanner",Pharmaceuticals,Cote d'Ivoire,Kendraland,Traci Day,michellerobinson@example.org,270-506-1908x58026,4.0,11,2022-12-16,2025-10-23,13.28,No
VND8CAEB48D,Ramirez Ltd,Energy,Uganda,Saratown,Nicholas Garcia,tony98@example.org,628.221.1757,4.7,8,2022-07-11,2026-03-10,73.74,No
VND1A73FC33,Simmons LLC,Energy,Reunion,South Melanie,Elaine Grimes,tsimpson@example.net,339.367.8115x981,5.0,4,2022-06-06,2024-03-01,41.17,Yes
VND40A7069F,Peterson-Hester,Technology,Grenada,East Carolyn,Emily Guerrero,brittany28@example.org,771-570-3439x037,4.8,3,2020-07-30,2021-10-07,17.42,Yes
VND859AA544,"Thompson, Porter and Guerrero",Pharmaceuticals,Seychelles,Lake David,Barbara Hayden,halljacqueline@example.net,537-746-4364x8057,5.0,1,2021-12-15,2024-04-07,32.67,No
VNDDFDF8860,"Carpenter, Rich and Harding",Technology,Sao Tome and Principe,South Judithborough,Jessica Stephens,meganturner@example.org,386.659.7953x03337,4.6,9,2021-10-21,2026-04-18,35.75,Yes
VND62396BAB,Brock-Conner,Manufacturing,Romania,Rachelchester,Curtis Warren,rosserin@example.com,261-344-8536x792,3.6,1,2023-02-23,2026-04-19,33.22,No
VND0D050C25,Mclaughlin LLC,Textiles,Luxembourg,New Jeremyport,Benjamin Mcgrath,mroth@example.org,001-295-374-7214x770,4.2,7,2022-12-02,2025-09-12,25.92,No
VNDF9F92F21,"Sanders, Sherman and Dixon",Chemicals,Belgium,Alyssaborough,Michael Roberts,timothyhall@example.com,(423)893-5207,5.0,6,2022-12-10,2024-06-30,8.2,Yes
VNDC939E188,Walker Inc,Metals,British Indian Ocean Territory (Chagos Archipelago),East Barbara,Emily Richards,beththompson@example.org,001-316-438-8805x858,3.9,11,2021-06-20,2024-01-15,2.01,No
VND75832916,Neal Ltd,Consumer Goods,Zambia,South Maria,Jessica Huff,jesuscampbell@example.com,254.345.1722,4.6,5,2021-12-05,2023-06-19,32.19,No
VNDF549E284,"Nielsen, Watson and Reyes",Chemicals,Bouvet Island (Bouvetoya),Matthewfort,Kelly Nolan,kwade@example.net,001-486-406-8930x073,3.3,6,2021-04-12,2025-04-10,35.64,No
VNDFDC347F6,"Young, Scott and Stevenson",Textiles,Azerbaijan,New Alexander,Donna Smith,wilsonmichael@example.com,(739)657-5152x195,3.9,10,2020-06-11,2023-03-26,4.45,No
VND97E5802F,"Potter, Murphy and Ellis",Energy,Micronesia,South Maryton,Brandi Chaney,yromero@example.com,567-517-3431x22007,3.2,4,2023-06-18,2025-05-09,3.07,Yes
VND3D2A9A3A,Fletcher-Le,Manufacturing,Samoa,West Barryfurt,Traci Henderson,sergio18@example.com,909-426-5644x330,4.4,4,2023-08-18,2026-12-07,45.27,No
VND97FA9A66,Greene-Sellers,Energy,Czech Republic,South Debrashire,Andrew Jackson,andersonsteve@example.net,347.990.0889x87673,4.0,7,2021-02-23,2022-09-24,52.63,No
VND66028154,Wong-Hardy,Consumer Goods,Bolivia,Caitlinfurt,Jane Lang,ariley@example.org,+1-575-594-9435,4.9,13,2022-08-23,2027-05-02,44.72,No
VNDD95DB1B7,"Powers, Pace and Sullivan",Consumer Goods,Ireland,New Colton,John Rivas,joshuagarrett@example.net,558.215.2176x00926,3.8,3,2023-03-31,2025-03-04,11.61,Yes
VND4AFDF46C,Hartman Group,Pharmaceuticals,Fiji,East Jasmineshire,Tammy Callahan,blakedavid@example.com,+1-367-464-7655x383,4.0,8,2020-10-15,2023-07-31,0.0,Yes
VNDC4060F12,Mathews LLC,Textiles,Saint Kitts and Nevis,Reneehaven,Samuel Solomon,mweber@example.com,001-323-813-6281x415,4.3,6,2023-08-06,2024-08-15,54.73,Yes
VND1DF449E3,Moses PLC,Metals,Northern Mariana Islands,New Alejandraland,Jennifer Davis,wjohns@example.net,508.769.5963,3.1,9,2023-12-14,2027-02-07,24.71,Yes
VND2AF9B25B,Wise PLC,Logistics,Belarus,Robinfurt,Paige Bauer,mcguireerika@example.org,(858)525-7212,5.0,2,2022-05-02,2026-03-25,0.0,No
VND9E3DBA67,Gregory Ltd,Consumer Goods,Myanmar,Krauseshire,Amanda Rivera,dana35@example.net,001-265-576-2490x636,3.6,6,2022-11-01,2026-10-02,0.0,No
